author.username,content
author4,"Echos of the North (Part 2 of 2): The Fractured Spire
Three years have passed since the inhabitants of the World’s Crown raced to find an ancient Sarkorian tomb. Now that the dust has settled, treasures have been pillaged, and travelers have returned home, silence has washed over the frigid tundra. After three years of peace, these chilling wastes have again proven to hold much more than initially appears.

After months of unprecedented tremors shook the mountains of Golarion’s pole, the tallest tower of the Nameless Spires began to emit a strange field of magic. As quickly as the activity stirred the abominations that once called the Spires their home to flee, they shortly returned both greater in number and with strength unheard of for mortal creatures. The tower soon launched crackling energy into the clouds tearing the very sky asunder. As the cracks in the sky grew, it became evident that whoever armed the ancient tower plans to tear a rift into another plane. A catastrophe that could prove more lethal than the Worldwound. As the earth begins to tremble once again, it is clear that something must be done before Golarion itself is torn apart.

The Wandering Skum is again organizing parties, hoping the few remaining heroes are strong enough to save this land from the ancient powers that echo through the ice and snow. While locals fear the tower has been charging for millennia and that this was their true purpose, those who saw the mythical might of the warlord that lurked within that Sarkorian tomb can sense his power in the Spires."
author7,Ima make tristin my favored enemy
author4,Echos 2: It's Borgin' time
author2,<@458413180893397022> dark 60ft
author2,Replace head with snake or become human idk what to say
author7,idk bro
author2,<@151500793990742016> this +breastplate and axe seem good
author7,we can pretend the snake holds on to the axe
author2,He’s a nagaji
author4,Here you go
author2,Katar instead of sword
author7,thats what my spirit looks like
author2,Nothing like this and also no cape
author8,you know something like this minus the guns lmao
author7,bruh i forgot the snake existed
author2,And a snake
author7,sumn like this minus the cape
author4,Got a preferance on token border?
author8,close enough to my character
author4,+Character images
author6,120ft tremorsense
author4,<@&981382306663120919> can I get everyones vision range?
author4,Hey guys dont forget you +1 a stat every 4 lvls as normal
author4,Copy of foundry link
author4,Thought it was your address
author4,Ah gotcha
author8,i put that for the other peoples that will need to connect
author4,Didnt need to copy but thanks
author4,It is a checkbox for me
author8,d3ecf5726d877f6b here is address so you can just copy/paste
author2,Not I
author4,Is anyone here opposed to starting at 1pm on Sunday
author4,Also if you haven't played with me before you guys need to do some minor set up on your end
author4,<@456034448194928641> <@151500793990742016> <@683040629391097921> What classes are ya'll planning on playing
author4,I think most people can make it so Im gonna lock in on that day
author9,"Really don't think I can, not gonna have the time"
author1,uhhh sure
author4,<@589289513788899348>  <@378709482953244672>
author2,Should be good
author3,I'm good
author8,I’m good
author7,So im chillin
author7,I don't work
author4,So <@&981382306663120919> July 10th
author1,"hehehey new mexico go brrr

anyways i can do anything past maybe the 1st, 5th would be most convenient"
author4,What about the next week is everyone in town
author9,Will be on plane
author9,I cannot
author4,<@589289513788899348> cannot
author7,Should for me
author3,Should for me
author4,Hey <@&981382306663120919> does the 29th work for everyone
author7,I'll ask off for the 25th
author7,Good for the 29th
author2,We’ll see
author4,So how about the 25th or 29th?
author4,Tristin couldnt
author1,monday is a no but i currently see no problem with any other day. i assume you cant do sat?
author8,Any other day is cool
author8,I can’t do Monday or Tuesday of next week
author7,I'm free Wednesday and Saturdays
author4,What about ya'll?
author4,"I'm gonna have to push the date back <@&981382306663120919> mainly due to personal issues. What days are ya'll able to do next week?
Sunday night seems like it may be good"
author7,Just gotta make charkter
author7,I'm still good
author2,I’m good
author8,"im good i just need help with my character, either way is fine"
author4,"All <@&981382306663120919> do I need to push back the date?
1 person already cant make it what about you guys"
author4,In call if any one needs helpwith characters or jjst wants to chat
author4,"Remember <@&981382306663120919> We'll be playing on **Wednesday at 6:15**

Make sure that your characters are ready. If you need help Ill be in call here from 6ish to 10ish for prep."
author4,Epic style
author7,Don't have work that day so I should be
author1,can do! ill rush up and finish the character
author4,Must be tired idk
author5,I don't think you finished that first line
author4,"All good just dm what kinda build youre thinking (melee v ranged, martial v caster etc)"
author8,Honestly I don’t know and was hoping you or someone else could help me make one
author4,"Also Id like to know what the rest of ya'll are playing
-Starr and Tristin I know what you guys are playing"
author4,<@&981382306663120919> you guys good for the 8th or?
author4,I have the stuff ready ~~more or less~~
author4,Should work then I think
author4,Date on that?
author5,"Looks good for me, you, and Connor"
author5,<@458413180893397022> next wednesday.
author6,Then it might be more like 7
author8,I’m slow
author6,Its only 5 if you aren't slow
author8,"Nice 6 hour walk there, just a casual stroll"
author7,Also it was just me who brought up wapmart 😔
author5,but like anywhere in canton
author6,I mean you can work at not walmart
author7,It just pays alot
author7,It's not
author5,Why is walmart considered to be the only interesting place
author7,Is there anywhere nearby he'd be interested in walking and/or biking to
author5,no but
author7,That's true
author5,you don't have to work at walmart
author7,But I'm ok
author7,I dunno about tristin
author5,I mean
author5,but I could def go 5+
author5,1.5 miles
author7,How long was that bike ride
author5,I biked for 6 months to my job
author7,Also if there were days we didn't work together...
author6,It will be a 3 hour walk one way at most
author6,You walk
author8,But how get job with no car
author6,"Ok hear me out, what if he got a job so he can buy a car? /s"
author8,"I live in beaver dam, to say it’s out of his way is an understatement"
author10,give him a ride
author7,You've told me that a billion times
author7,I apologize
author8,Don’t have car/ride
author7,Come work at Walmart 😃
author8,I’m prob not gonna have a job so basically any day
author4,Needs to be before the 20th
author4,Might be move idk
author7,Theoretically that should work
author4,I'm thinking a Monday but
author7,Ik I have Sundays off
author4,So does anyone have a favored day for this?
author4,"Just make sure to mention x skill cause y reason
As long as you can justify it Ill most likely approve it"
author4,I had that typed up but forgot to attach it the initial wrote up like a dumbass
author2,I got that?
author4,"Btw anyone that submits a motive to me gains the following trait

Motivated Adventurer:
Select a skill related to your background. That skill counts as a class skill for you. If the chosen skill is already a class skill then you gain a +2 trait bonus instead."
author4,Added details about the local humanlanguage
author4,Map of the Crown btw
author4,Also pin that first message for me Tristin
author4,Anyway can ya'll go react on the message so I don't have to scroll later
author4,Hmm weird
author2,and it is higher
author2,No but finder of paths can
author8,He has to roles that I don’t
author4,Can Kingmaker 2 see it?
author2,but you have the same roles as Connor so idk
author2,I added you specifically to the channel
author8,Yay I can see
author4,He can't see it or divine pperogitive
author2,Cause it has the same permissions as the other one shots
author2,I honestly couldn't give you a reason he can't see it
author4,Let's see <@280377735207976960> ?
author2,What about now
author2,and I can see them when looking here
author4,From him
author2,Connor can
author2,I couldn't tell you why
author4,Hey <@318536129727168512> apparently Jt and likely some others cant see this channel
author4,Meant react lmao
author4,@everyone who is interested please react here with a 🪙
author4,"Character level 8th
25 point-buy
33,000 gp starting
Pvp is allowed, Evil alignments are permitted (both must be disclosed to me and approved as nondisruptive)
The people of Nutaqq mainly speak Erutaki
*Optional: Motive for finding the tomb
Anyone that has a defined motive will gain the Motivated Adventurer Trait*"
author4,"Echos of the North (Part 1 of 2):
Legends and whispers among the travelers of Golarion's Crown speak of a lost tomb hidden in the deepest reaches of the frozen High Ice. The tomb, supposedly belonging to the ancient Sarkorian Warlord Borgbreill would likely contain riches and treasure worthy of the god-king's mythical status. In light of the recent closing of the Worldwound, travel in the region has seen a recent surge and the rumors of this frigid tomb have become increasingly popular throughout settlements near Sarkoris. It's only a matter of time before someone heads North and stumbles upon the tomb and the riches held within. 

Luckily for you, the Erutaki village of Nutaqq that borders the High Ice is rumored to be organizing parties for people hoping to find the tomb and strike it rich. Perhaps the echos of this lost tomb could contain your chance at glory."
author4,"I mean congrats I guess
But Arazni killong Urgotha was a pretty popular theory
And Erastil dying would have been interesting"
author2,They were in my mind
author4,I mean Erastil and Urgotha werent obviously safe
author2,I think they'll do like 50-70% before war of immortals
author2,They are getting all the obvious ones out of the way
author6,My brain saw general and was like good enough
author6,This is gnome general
author6,Oh fuck
author4,<@318536129727168512> good news
author4,They took a minute today
author6,Big W for big Magic
author4,"Oh shit
Also next god should be declared safe in like 2 min cause time change"
author6,Archive exists now
author2,Does if it isn’t Mortimer
author4,Cause aren't both immediates?
author4,Doen't work with misfortune I think
author2,Alcohol monk and alcohol barb combo
author4,I thought you meant that feat
author2,you are going to edge
author2,on thursday
author2,<@458413180893397022> are you excited to edge
author6,I support it
author2,<@458413180893397022> thoughts on everyone taking a level dip in dual cursed oracle
author2,but already had it
author2,was looking at buying it
author2,Totally forgot I had the wayfinder of hidden strength
author4,Did you find it or?
author2,/grippli village
author2,What was the buy price in blackwater
author2,"Misfortune (once per person) reroll a dice roll
Fortune (once per day) reroll my dice roll
Rewind Time (once per day) reroll my dice roll
Eternal Hope (once per day) reroll my nat 1
Fate's Shears (once per day) reroll a dice roll. Staggered next round.
Wayfinder of Hidden Strength (once per day) roll twice and take better
Fortunate Charm (once per day) reroll skill or concentration check
Spellguard Bracers (three times per day) roll twice and take better on casting defensive"
author2,always act in surprise round gang
author2,Rusty can be cool
author1,:) wolves
author4,You guys should level up by the end of this session then I'll shift to a few Wolves sessions
author4,<@&927426307514581042> Sun?
author4,Whatever lol isn't that big of a deal
author4,*think I used for him
author4,And I have the art I used for him
author4,"I feel like I'm going crazy I stg I remember you fighting the shade guy
But like Idk why I'd be missing his token"
author2,Oliver resisting the urge to among us
author6,Wait its at 4:48 so it will be good
author6,I have dr's appointment at 5 but it shouldn't last over
author4,5:30 or 6 ish
author2,cause it was planned like 3 weeks ago
author2,determining if tomorrow is still happening
author4,Monday night maybe?
author4,But fair
author2,I will be in another game
author4,Tomorrow @6 <@&927426307514581042> ?
author4,On phone with Mother
author4,Was about to
author2,I am in a word game with Law but will join when others do assuming we are still on
author4,In theory you guys should be okay but the combats may be a little rough
author2,I'm good either way
author4,"Fair
Should we cancel then"
author6,Hey I jjust woke up and is in a lot  of pain. So I am probably not going to be able to do gnome today
author4,This is a threat
author4,That +1 carryin yall
author4,Ya'll have the good ending
author4,Foundry up one sec
author2,unsure without looking at my character
author4,I need it for political reasons
author4,<@318536129727168512> Whats your curse DC
author1,oh yes
author4,Tomorrow per chance
author1,shit fnome
author4,Lets go wirh king then
author4,<@589289513788899348> <@151489352164311040>
author2,was planning on king but am good either way
author4,We Kingin our makers or Mercin our Gnomes tomorrow
author4,"Hey <@&927426307514581042> <@&1064607664216231997> I'm gonna officially postpone Gnome/Wolves for a while until we get Kingmaker wrapped up
Should only be a few weeks but it's mainly due to scheduling restrictions"
author6,"Up for either, work till mon, I get off sometime between 6-9 if you want a late session"
author4,This was also an inquiry to which one had more interest
author2,Fable working until Monday
author2,I think I'm good
author4,"So were people feelin Gnomes, Werewolf, or busy"
author2,Gnome Setup
author2,Curse BS
author2,I heal it
author4,Bulette has 3 Str dmg total btw
author4,So Sunday at like 6:30?
author2,I will be free this Sunday
author4,Then I guess we aren't playing again this week\
author2,Fable usually works
author4,So what is everyones status tomorrow <@&927426307514581042>
author4,Ollie is going home to so scheduling is gonna suck
author2,will be taken sunday@7
author2,But I got stuff to do so im good
author2,Yeah I said I thought fable was busy
author6,Or my pet rock the dead child gave to me
author6,Or rusty
author6,Carson can play one of tristins characters
author4,And havent finished preping
author4,Well now there is actually no Gnome cause I have plans with Carson at 5
author6,He thought there was no gnome because he thought I was busy when I was not busy
author4,I already have made other plans cause based on that message I assumed you were busy
author2,What time
author2,Cause work wasn’t mentioned
author2,I thought the yep was sarcasm
author7,rip tris
author6,That is when I am working
author2,You wanna do a 10am session?
author2,^ <@458413180893397022>
author7,so no he||als||
author4,Busy Sun too?
author2,So no gnome
author6,"Yep
10am-2pm sun"
author1,also sun is good
author1,right now
author2,Should be fine
author4,What about sun?
author2,going to Asheboro
author4,K no King either I presume
author2,prob cant tomorrow or saturday
author4,So when gnomes <@&927426307514581042>
author7,especially with us being up late vibing to coleman cawthorne
author4,"Im fine with earlier
Counter is my skill issue in the sleep department on weekends"
author6,Work at 2 Sunday so it would have to be earlier than oli awake early
author6,Mon good
author2,Option of earlier session
author4,Wb Mon Fable
author4,Was planning Wolf Sun
author6,I close this weekend
author2,Any plans for any of the games?
author7,yeah I was supposed to steal Noah but parents 😔
author2,Fine by me
author4,I can still do 6 potentially but
author4,Is 7:30 to 9:30ish okay?
author4,Attempting to
author2,<@458413180893397022> are we gnoming tonight?
author4,Knock yourself out lol
author4,Yeah 6
author6,Cuz I am finna take a nap till it starts <@458413180893397022>
author6,Like at 6
author6,When is this?
author6,"I am not sure how cognizant I will be because I am doing a close and then open, but I will try my best"
author4,Sunday is optimal
author2,<@458413180893397022> looks like sunday will work
author6,I am free tommorow and I open Sunday so I am free then
author2,I'll have to wait and see past that cause I don't have a work schedule yet for next week
author2,Up until today I would've said yes but I have to take a **Defensive Driving Class**
author4,Monday night?
author2,Wasteland game
author4,Friday perhaps
author2,I feel like they said they started working just weekends
author4,<@151489352164311040> ?
author2,I could do Sunday I think
author4,<@&927426307514581042> this weekend?
author4,Last time I did a version change 9 -> 10 it fucked stuff up so
author4,I updated to v11
author4,Hey <@&927426307514581042> can you check to make sure you foundry stuff was imported correctly
author4,Yeah idk I'll just give them a rundown later and let them ask misc questions at placeholder social stuff
author4,Yeah cause you level after hags
author6,Cuz i remember iterative attacks
author4,Or is it still 5
author4,Ya'll are lvl 6 right
author4,But yeah kinda how I'm leaning
author2,give == write = true
author2,one of us can give the run down post session
author2,I'm good either way. Seems like for Fable sake it'd be simpler to do gnome.
author4,The random encounters I have preped won't kill ya'll without Ollie (probably)
author6,I will say that currently the cleric has not been reraced yet
author4,"So idk up to ya'll I guess, gnomes a player down or King I guess
<@589289513788899348> this session was gonna be social -> travel -> maybe more social if you guys get there fast"
author2,factual information
author2,same level I believe
author4,Wait what level are we in King
author4,Otherwise I'mj ust gonna go take a nap and be annoyed since this session was all exposition
author2,I can
author2,uh uh uh
author4,Unless you think you can get back within a short time
author4,King instead then?
author1,i need to cart my dog to ephraims sorry i forgot to mention
author1,oh wait i am not
author4,At 6
author4,We still good <@&927426307514581042>
author7,might not be home in time 😔
author2,Still gnoming tomorrow
author7,11p my time 6p ur time <@151489352164311040>
author4,<@318536129727168512> <@589289513788899348>
author4,"Okay, are you free on Thurs then?"
author6,Basically I am free after Thursday
author4,I think we should also try to do king maker
author4,Im free all week more or less (friday unknown)
author4,Cause Ollie is going out of town
author6,Here is my schedule for the next 2 weeks
author4,When are you free
author6,This Sunday not free
author6,Next Sunday free
author6,Am stupid
author6,EST or GMT
author7,yeah I think I'm free at 11
author2,I think so
author1,unsurprisingly maybe
author6,Suprisingly yes
author4,Sunday at 6 <@&927426307514581042> ?
author4,Pov Gnome setting irl
author4,<@151489352164311040> look in dms
author4,Works for me
author2,Melt his ass into a buckler or some shit
author6,Cuz that seems cool
author6,Also I can make sure I grab the piece of the graveknight I cut off
author2,I don’t work Wednesday
author4,What about Wednesday <@318536129727168512> ?
author6,Probably yea
author4,This means close Thutsday right <@151489352164311040> ?
author2,Should be good
author4,<@318536129727168512> usually works Wed if I remrmber correctly
author4,Im gonna be out of town next week
author6,"Don't get schedule till tommorow, but I assume it will be the same as it has been the past 2 weeks, 2 - cl thurs - sun"
author4,Gnome this Thursday?
author4,6:30 would be the start time
author2,I do other kingmaker that day ||rarely|| so short session works
author6,Long gnome session now
author4,Short gnome session Tues then?
author6,Off Mon -wed
author4,King tomorrow (Mon) <@318536129727168512> ?
author7,tell her i said happy birthday
author2,mom birthday
author2,btw prob cant wednesday
author1,except monday
author2,I think I'm good all those days
author4,I am free from Mon to Thurs <@&927426307514581042> what are opinions
author1,but ye that works :)
author1,"hey, it's only sometimes muted"
author6,Will be good then
author4,Mainly <@589289513788899348> /Mr. Server mute
author4,"This works for me
<@&927426307514581042> ?"
author2,I could do 5 on the morrow
author6,Close rest of week
author6,"Oh yea off today, tommorow"
author2,Was working
author6,Assuming I don't work then that sounds good
author4,So King that morning possibly?
author4,I'm busy Monday from 4 to whenever Greg is done with whatever he's wanting me to do (7:30 at the latest)
author2,vice versa
author2,so whichever we do gnome we could do kingmaker the other
author2,I'm free monday and wednesday
author4,Okay so I guess Ill start planing around when I get my schedule
author1,i am good whenever
author6,"Work is starting to make me close somtimes, I find out my schedules for the next week every sunday
Assuming I am not closing I should be good whenever"
author4,<@589289513788899348> <@151489352164311040>
author2,"Mon, wed, thur"
author4,So here's the conundrum I'm probably going to be closing most weekends this summer (including this weekend)
author6,<@&927426307514581042> ➗
author4,Everything else is small
author4,So medium and Norgorber flavored
author4,This gear is all abendego stuff btw
author2,"Sell chainshirts, shortswords, longswords, and maybe +1 hide armor"
author7,god i wish mercy was on my soul 😩
author6,May god have mercy on your soul lawrence
author7,gome <:wah:951310823366754334>
author6,When gome?
author4,Just a note Ollie has expressed they may not be able to make it depending on how their workload goes
author2,<@&927426307514581042> yes 👁️🫦👁️
author7,you are grandparents
author4,No gnome this weekend going to grandparents
author4,This dryer us giving me society moments
author4,Foundry is up already if ya'll want/need to adjust items
author4,Grabbing my laundry will be there like 1-2 min late
author6,Works for me
author4,4 work
author2,I get off work at 3:30
author4,<@&927426307514581042> ya'll intereded in starting earlier?
author7,that looks sick
author2,can grab a wayfinder to get +1 will
author2,https://www.aonprd.com/MagicWondrousDisplay.aspx?FinalName=Ioun%20Stone%20Pink%20and%20Green%20Sphere <@151489352164311040> if you do not have a competence bonus to intimidate
author2,"+1 perception, sense motive, diplomacy, bluff, knowledge (religion), stealth"
author2,"Dark Blue, Mulberry, Mossy, and Pale Ruby (Two flawed and Two cracked)"
author4,Yeah I dont see why not
author2,<@458413180893397022> if I use mortician in place of heal would you allow competence bonus to heal to apply
author4,Those are pretty nice for magus and cleric
author2,"https://www.aonprd.com/MagicWondrousDisplay.aspx?FinalName=Spellguard%20Bracers
https://www.aonprd.com/AlchemicalReagents.aspx#:~:text=of%20the%20effect-,Void%20Shard,-Source%20Plane%2DHopper%27s
https://www.aonprd.com/MagicWondrousDisplay.aspx?FinalName=Vest%20of%20Surgery
https://www.aonprd.com/MagicWondrousDisplay.aspx?FinalName=Healer%27s%20Gloves
https://www.aonprd.com/MagicWondrousDisplay.aspx?FinalName=Robe%20of%20Needles"
author6,Not the based Longtounge
author2,like we were gonna do
author2,Start there then go down
author6,Ah the weird gripplis
author2,My plan was to go west
author6,I support tristins plan
author6,Unless we have a good reason to go anywhere else east sound like the way to go
author2,"I think the plan was 
Go back to kobolds
Go talk to gripplis
Go south and get horse for paladin
Go to other grippli place
Go see if we can find Oliver mom"
author1,giant forest thing on the bottom left seems completely relevant to what's going on rn
author4,Okay <@&927426307514581042> where tf ya'll going
author6,nome mercy
author4,No gnome this weekend btw
author4,"Dark-ness
Locked away
Lirgen kings chose us to pay"
author4,Be there in a sec
author4,<@151489352164311040> ?
author1,oh yo sure!!
author2,I'm down if others are
author4,Starting at 5 otherwise
author4,"Ya'll want to start at 4?
Was pretty helpful last night cause family"
author4,"Gotcha
Guess we'll just see how it goes"
author6,Like not the level of malicious where they just soley sundering my items to weaken me and not doing anything else
author2,(Not counting curses cause perm)
author4,I thought you were talking about bless lol
author2,Shoutout to me having cast a spell that has lasted 5 sessions
author6,As long as what they are doing actually helps them Idrc
author4,Dont worry there are no grapplers...
author2,As long as there is no grappling
author4,"Oh they wont be stupid
Just a scale of how malicous"
author6,I am not opposed to them doing stupid shit
author7,uh 7/10
author4,This is a threat
author4,"Alright gamers how malicous do you want the enemy AI lol
Looking over my tatics for that boss fight"
author7,what if I'm not doing either
author2,is that a threat
author4,Play gnome or go home
author4,Sunday @5 <@&927426307514581042>
author7,"For a sec I thought that said ""to host my insurance file"""
author4,"So I can run Gnome
But, I may need to get <@318536129727168512> to host my instance file"
author4,K we can start in like 5-10 min
author4,My b I did forget to announce this week
author6,I should be good
author6,I didn't even know we were starting
author4,<@&927426307514581042> ya'll interested in starting a tad early?
author6,Duality of man
author7,my b
author7,oh ok
author6,I was just proving that dogs can climb
author6,Not relevant to you
author6,"Its not even a joke
Its a place"
author7,*insert some dick joke about ports*
author6,I think you mean port
author1,"first airports, next you'll tell me waterports exist"
author6,I'll port your air
author7,sorry I'm at the airport 🙂
author6,<@151500793990742016> <@589289513788899348>  Gnoming time
author4,Foundry is up if ya'll need to adjust anything
author6,Assuming its at 5?
author1,sunday still works
author6,That was next weekend I was strupid
author4,I was asking cause fable was questioning
author4,Okay Sunday then
author4,Wait <@&927426307514581042> Sat or Sun
author2,Just checking in on stuff like normal
author7,I know
author2,I know
author4,Im not on break like yall fyi
author6,Oh fuck yea that would be next weekend
author2,You gonna be in waynesville?
author2,leaving waynesville?
author6,If we do I would prefer Saturday cuz might be leaving Waynesville Sunday
author2,We gnoming this weekend
author7,on god
author2,Not not not be like
author4,Misclicked lol
author4,I meant <@589289513788899348>
author4,<@151489352164311040> ?
author4,4 work?
author4,<@&927426307514581042> Would ya'll be up to start slightly earlier?
author6,Am good!
author4,Sunday at 5 bte <@&927426307514581042>
author4,Busy this weekend cause moving btw <@&927426307514581042>
author2,That minimalist reticulated-triangle @ 5
author1,tmr @ 5
author2,Or Sunday
author2,<@&927426307514581042> tomorrow 5?
author2,Rest + in + piece
author7,no 😔
author4,Bro you gonna do what to their squirt gun
author2,<@151500793990742016> do you understand
author2,No gnome tonight
author1,yeee :)
author2,I think we started leanings towards getting eggs back after forge
author4,Then if you have time visit the other Gripplies nearby
author4,Just to make sure Ive preped correctly you guys are planning on finishing the forge this session?
author2,2/5 said they couldnt come so if one more dips then we can do it
author2,Probably not tonight unless UNCC cancels
author4,"Well
We trying to run it tonight or this weekend?"
author2,<@458413180893397022> what’s it lookin like
author2,"https://aonprd.com/MagicWondrousDisplay.aspx?FinalName=Ioun%20Stone%20Dusty%20Rose%20Prism
https://aonprd.com/MagicWondrousDisplay.aspx?FinalName=Fate%27s%20Shears
https://aonprd.com/MagicWondrousDisplay.aspx?FinalName=Wayfinder%20of%20Hidden%20Strength"
author4,Like 5ish minutes or is it gonna be like me calling my mom just now lmfao
author4,Define a bit <@589289513788899348>
author1,"my dad called me, be there in a bit"
author7,Me with my stuffed animals on god <a:smh:823725775408201758>
author4,Okay <@&927426307514581042> we are good
author4,"I swear my mother is obsessed with selling everything we own
Like mf I've told you since I was 14 I'm keeping my lego collection"
author7,thats a terribly good idea
author4,Good idea lmfao
author2,start playing fire alarm sound on your computer
author4,I have been in this call for an hour 💀
author4,Mother won't stfu
author2,I’m ready whenever btw
author4,Uncle got here early let me fonish eating and we can start whenever people are ready
author2,Ok 😔
author4,Gonna stick with 7 need to meet up with my uncle
author2,Probably good for 5
author6,I also have plans with tristins parents after they are done with him so I might be late
author2,Could be closer to 5
author2,Just remembered my parents are visiting tomorrow. Probably only a day trip so should be gone by at most 7.
author4,<@&927426307514581042> ?
author4,Saturday at 5?
author2,<@458413180893397022> our almighty savior please grace us with the time of our next session
author4,"Between two warm bowls I am created
To make the the fine maidens elated
Round and shiny I gleam bright
Much like the fullest night
Speak my name"
author6,Am good 7
author6,i EXIST
author4,If <@151489352164311040> exists 7 otherwise 8:30 <@&927426307514581042>
author7,i tihnk it got canceled
author4,Fable what you end up doing with tgat lab
author6,I might do it early and then just pop in for attendence
author6,It is literally just writing and compiling something in C
author7,no clases friday <:shrug:858187229779460116>
author6,Will probably get out early though since its a lab
author6,Have class from 5:30 to 8:15 friday
author1,works for me
author4,"No <@&927426307514581042> today
Aiming for Friday night?"
author4,Shit sorry
author6,<@458413180893397022> you alright?
author4,<@&927426307514581042> reminder today at 7
author1,also ill check sheet soon
author1,no preference :)
author2,Im good with Monday
author4,<@589289513788899348> <@318536129727168512> ?
author4,Personally prefer Mon as well but was unsure about yall
author7,i get back Monday so I'm not to sure 😔
author6,Am trying to visit waynessvile sat-sun so yea
author6,Prefer monday
author4,"Also for our next session does anyone have a preference between Saturday, Sunday, or Monday from 7-10"
author4,"Hey <@&927426307514581042>
The Foundry server has been migrated successfully
I will be hosting the server for the bulk of they day please take the time today to join an look over your characters to ensure there has been no regression on your character sheets"
